,adject_id,adject_name,adject_frequency,pd_no,subcate_no,category_no
0,0,없다,72,0,침대,침실가구
1,1,이쁘다,82,0,침대,침실가구
2,2,튼튼하다,103,0,침대,침실가구
3,3,차갑다,97,0,침대,침실가구
4,4,실망하다,59,0,침대,침실가구
5,5,약하다,68,0,침대,침실가구
6,6,아쉽다,64,0,침대,침실가구
7,7,예쁘다,75,0,침대,침실가구
8,8,아니다,63,0,침대,침실가구
9,9,낮다,20,0,침대,침실가구
10,10,좋다,92,0,침대,침실가구
11,11,이렇다,81,0,침대,침실가구
12,12,궁금하다,10,0,침대,침실가구
13,13,원하다,77,0,침대,침실가구
14,14,빠르다,50,0,침대,침실가구
15,15,만족하다,34,0,침대,침실가구
16,16,매끄럽다,36,0,침대,침실가구
17,17,특별하다,102,0,침대,침실가구
18,18,견고하다,6,0,침대,침실가구
19,19,완전하다,76,0,침대,침실가구
20,20,괜찮다,8,0,침대,침실가구
21,21,똑같다,32,0,침대,침실가구
22,22,이다,80,0,침대,침실가구
23,23,그렇다,12,0,침대,침실가구
24,24,어떻다,69,0,침대,침실가구
25,25,다르다,24,0,침대,침실가구
26,26,안타깝다,67,0,침대,침실가구
27,27,신중하다,58,0,침대,침실가구
28,28,죄송하다,94,0,침대,침실가구
29,29,만족스럽다,33,0,침대,침실가구
30,30,빨르다,51,0,침대,침실가구
31,31,정확하다,90,0,침대,침실가구
32,32,무리다,38,0,침대,침실가구
33,33,아깝다,62,0,침대,침실가구
34,34,시커멓다,57,0,침대,침실가구
35,35,심하다,61,0,침대,침실가구
36,36,동일하다,29,0,침대,침실가구
37,37,저렴하다,87,0,침대,침실가구
38,38,진하다,96,0,침대,침실가구
39,39,연하다,74,0,침대,침실가구
40,40,친절하다,99,0,침대,침실가구
41,41,많다,35,0,침대,침실가구
42,42,연결하다,73,0,침대,침실가구
43,43,들뜨다,31,0,침대,침실가구
44,44,유명하다,78,0,침대,침실가구
45,45,스럽다,56,0,침대,침실가구
46,46,부럽다,44,0,침대,침실가구
47,47,급하다,14,0,침대,침실가구
48,48,설치다,54,0,침대,침실가구
49,49,개떡같다,4,0,침대,침실가구
50,50,안되다,65,0,침대,침실가구
51,51,불안하다,46,0,침대,침실가구
52,52,고급스럽다,7,0,침대,침실가구
53,53,적당하다,88,0,침대,침실가구
54,54,깔끔하다,16,0,침대,침실가구
55,55,칠하다,100,0,침대,침실가구
56,56,어이없다,70,0,침대,침실가구
57,57,굉장하다,9,0,침대,침실가구
58,58,불쾌하다,47,0,침대,침실가구
59,59,두둑하다,30,0,침대,침실가구
60,60,은은하다,79,0,침대,침실가구
61,61,새롭다,53,0,침대,침실가구
62,62,편안하다,104,0,침대,침실가구
63,63,중요하다,95,0,침대,침실가구
64,64,솔직하다,55,0,침대,침실가구
65,65,불편하다,48,0,침대,침실가구
66,66,엄청나다,71,0,침대,침실가구
67,67,흠잡다,109,0,침대,침실가구
68,68,귀찮다,11,0,침대,침실가구
69,69,더럽다,27,0,침대,침실가구
70,70,강하다,3,0,침대,침실가구
71,71,자세하다,84,0,침대,침실가구
72,72,단단하다,25,0,침대,침실가구
73,73,좋아하다,93,0,침대,침실가구
74,74,착하다,98,0,침대,침실가구
75,75,가득하다,1,0,침대,침실가구
76,76,높다,22,0,침대,침실가구
77,77,더하다,28,0,침대,침실가구
78,78,붉다,49,0,침대,침실가구
79,79,나쁘다,19,0,침대,침실가구
80,80,기대하다,15,0,침대,침실가구
81,81,느리다,23,0,침대,침실가구
82,82,싫다,60,0,침대,침실가구
83,83,푹신하다,105,0,침대,침실가구
84,84,그만하다,13,0,침대,침실가구
85,85,이상하다,83,0,침대,침실가구
86,86,가볍다,2,0,침대,침실가구
87,87,묵직하다,39,0,침대,침실가구
88,88,넓다,21,0,침대,침실가구
89,89,부실하다,45,0,침대,침실가구
90,90,탄탄하다,101,0,침대,침실가구
91,91,미치다,40,0,침대,침실가구
92,92,작다,86,0,침대,침실가구
93,93,화사하다,106,0,침대,침실가구
94,94,답답하다,26,0,침대,침실가구
95,95,가능하다,0,0,침대,침실가구
96,96,전화하다,89,0,침대,침실가구
97,97,검다,5,0,침대,침실가구
98,98,반하다,42,0,침대,침실가구
99,99,황당하다,107,0,침대,침실가구
100,100,꼼꼼하다,18,0,침대,침실가구
101,101,자연스럽다,85,0,침대,침실가구
102,102,훌륭하다,108,0,침대,침실가구
103,103,깨끗하다,17,0,침대,침실가구
104,104,부드럽다,43,0,침대,침실가구
105,105,바쁘다,41,0,침대,침실가구
106,106,조용하다,91,0,침대,침실가구
107,107,삐뚤다,52,0,침대,침실가구
108,108,무겁다,37,0,침대,침실가구
109,109,안전하다,66,0,침대,침실가구
