,adject_id,adject_name,adject_frequency,pd_no,subcate_no,category_no
0,0,꼼꼼하다,13,0,소파,거실가구
1,1,편리하다,79,0,소파,거실가구
2,2,좋다,69,0,소파,거실가구
3,3,저렴하다,65,0,소파,거실가구
4,4,이렇다,63,0,소파,거실가구
5,5,기쁘다,11,0,소파,거실가구
6,6,친절하다,76,0,소파,거실가구
7,7,아니다,46,0,소파,거실가구
8,8,심하다,44,0,소파,거실가구
9,9,없다,57,0,소파,거실가구
10,10,괜찮다,7,0,소파,거실가구
11,11,편하다,80,0,소파,거실가구
12,12,이다,62,0,소파,거실가구
13,13,불편하다,37,0,소파,거실가구
14,14,좁다,68,0,소파,거실가구
15,15,이쁘다,64,0,소파,거실가구
16,16,적당하다,66,0,소파,거실가구
17,17,푹신하다,81,0,소파,거실가구
18,18,설치다,41,0,소파,거실가구
19,19,상관없다,40,0,소파,거실가구
20,20,만족스럽다,29,0,소파,거실가구
21,21,만족하다,30,0,소파,거실가구
22,22,원하다,61,0,소파,거실가구
23,23,빨르다,39,0,소파,거실가구
24,24,가능하다,1,0,소파,거실가구
25,25,희다,82,0,소파,거실가구
26,26,딱딱하다,24,0,소파,거실가구
27,27,높다,17,0,소파,거실가구
28,28,짙다,72,0,소파,거실가구
29,29,느리다,18,0,소파,거실가구
30,30,안락하다,51,0,소파,거실가구
31,31,많다,31,0,소파,거실가구
32,32,중요하다,71,0,소파,거실가구
33,33,다르다,19,0,소파,거실가구
34,34,부드럽다,34,0,소파,거실가구
35,35,동일하다,22,0,소파,거실가구
36,36,아쉽다,48,0,소파,거실가구
37,37,완전하다,59,0,소파,거실가구
38,38,견고하다,4,0,소파,거실가구
39,39,불안하다,35,0,소파,거실가구
40,40,알차다,54,0,소파,거실가구
41,41,싫다,43,0,소파,거실가구
42,42,단단하다,20,0,소파,거실가구
43,43,그렇다,9,0,소파,거실가구
44,44,아담하다,47,0,소파,거실가구
45,45,고급스럽다,5,0,소파,거실가구
46,46,가깝다,0,0,소파,거실가구
47,47,당연하다,21,0,소파,거실가구
48,48,신중하다,42,0,소파,거실가구
49,49,놀래다,16,0,소파,거실가구
50,50,나쁘다,14,0,소파,거실가구
51,51,깔끔하다,12,0,소파,거실가구
52,52,안되다,50,0,소파,거실가구
53,53,빠르다,38,0,소파,거실가구
54,54,조용하다,67,0,소파,거실가구
55,55,가볍다,2,0,소파,거실가구
56,56,용하다,60,0,소파,거실가구
57,57,미묘하다,32,0,소파,거실가구
58,58,완벽하다,58,0,소파,거실가구
59,59,곱다,6,0,소파,거실가구
60,60,추하다,74,0,소파,거실가구
61,61,똑같다,28,0,소파,거실가구
62,62,좋아하다,70,0,소파,거실가구
63,63,번거롭다,33,0,소파,거실가구
64,64,알맞다,53,0,소파,거실가구
65,65,딱이다,25,0,소파,거실가구
66,66,따뜻하다,23,0,소파,거실가구
67,67,튼튼하다,78,0,소파,거실가구
68,68,어떻다,56,0,소파,거실가구
69,69,불친절하다,36,0,소파,거실가구
70,70,딱하다,26,0,소파,거실가구
71,71,탄탄하다,77,0,소파,거실가구
72,72,씁쓸하다,45,0,소파,거실가구
73,73,어둡다,55,0,소파,거실가구
74,74,딴딴하다,27,0,소파,거실가구
75,75,굳다,8,0,소파,거실가구
76,76,아프다,49,0,소파,거실가구
77,77,짧다,73,0,소파,거실가구
78,78,건장하다,3,0,소파,거실가구
79,79,급하다,10,0,소파,거실가구
80,80,넓다,15,0,소파,거실가구
81,81,충분하다,75,0,소파,거실가구
82,82,안전하다,52,0,소파,거실가구
