,star,review,customerId,reviewDate
0,1,"음... 일단은 푹신하진않아요;; 의자뒤로했을때 허리쪽이많이불편합니다 또한 조립이라 원뤄그런가?? 조금만쏠리게앉으면.. 의자라 옆으로 넘어가려고합니다;;; 양쪽 쿠션감도많이다르고요 
제가주문한 상품경우에는... 정면으로봣을때  왼쪽은 푹~ 들어가고 
오른쪽은 딱딱합니다 ;;; 그렇게좋지는않아요 집구조상 사다리차를 댈수없는구조라... 2층까지는 사다리차필요없다고해서 구매했으나.. 좋지는않습니다",rhau****,20.09.15.
1,2,"제품은 모루겠고 cs처리가 꽝이네요.
받자마자 나사가 빠져있고 처리과정은 판매자와 배송자가 서로 소통을 하고 있는지도 모르겠고.
결국 as받았지만 참.씁쓸합니다.",q1w2****,21.04.29.
2,2,한달사용기,nowo****,20.12.30.
3,2,중간중간에 실밥터진것도있네요,dldu****,20.07.21.
4,2,조금 불편합니다 너무딱딱해서...,kmh1****,20.06.24.
5,2,"사진이랑 똑같고 좋은데 생각보다 딱딱해서 불편해요 
다른사람들 후기 보고 구매했는데 조금 후회합니다",assa****,19.10.17.
6,3,"배송은 최악이고 업체대응도 화가나지만
상품은 좋습니다.",rudg****,21.05.16.
7,3,전 개인적으로 너무 불편해요.... 앉는 자리가 너무 좁고 조립? 처럼 되어 있어서 뭔가 균형도 맞지 않는거 같고... 그냥 판매가격만 한거 같습니다 ㅠㅠ,sam3****,21.04.12.
8,3,한달사용기,jush****,21.04.04.
9,3,"대체적으로 만족해요
좁은 거실에 딱이에요",sinj****,21.03.18.
10,3,한달사용기,sam3****,21.03.10.
11,3,"그냥 몇년 쓰다가 버릴생각입니다.
쇼파의 안정감이 별로 없습니다.
움직일때마다 쇼파가 움직여요.....",ange****,21.02.25.
12,3,괜찮아요딱금액만큼이네요,fool****,21.01.26.
13,3,"택배기사님이 정말 친절해요
가운데 등받이는 이음새가 없어서 택배기사님이 다시 이어줬어요.
그래서 별 한 개 뺐습니다.
그 외에는 거실이 좁은 편인데 별도로 뒤에 공간을 띄어놓지 않아도 돼서 효율적이에요",khs1****,21.01.14.
14,3,좌방석이 평평하지않아요..ㅠㅠ 한번교환했는데도 팽팽하지않고 주름이있는데 전거보다 났다고 엄마가 그냥쓰신다는데 맘이 좀 그르네요..,mh16****,20.12.26.
15,3,"저렴한 가격에 그냥 쓰는거에요
재품 퀄리티는 좀많이 떨어져요
좀 허술한 면이 있어요
일부 발런스도 않맞구요
사진에도 나온것처럼 약간 뜨더라구요
설치기사님은 친절하시구요 쇼파에서 소리날수
있으니 왁스까지 발라주시구요
설치하기전에 내부가 살짜보여서 봤는데 나무에 타카
쏜곳이 나무가 깨져있더라구요
전처적으로 싼가격에 그냥 쓰실분은 상관없는듯 해요",koda****,20.10.03.
16,3,"설치도 잘해주셨으나, 색상이....  네이비여서 그런지 이물질들이 잘 묻어남이 보임, 자주 클리너로 닦아줘야 함",ok_y****,20.09.10.
17,3,한달사용기,pear****,20.09.03.
18,3,잘쓰고있습니다. 감사합니다.,koda****,20.08.19.
19,3,한달사용기,pipa****,20.07.28.
20,3,구매하고10일정도 되어도착했네요  사이즈가생각보다큰것말곤 마음에듭니다,psyp****,20.07.27.
21,3,배송 아저씨 불친절합니다ㅐ,ghrt****,20.07.27.
22,3,한달사용기,mult****,20.07.18.
23,3,"상품받은날 가운데 홈바에 스크레치 나있어서 이야기하니 교환해주겠다하고 지금 두달째 아무 연락이 없습니다. 
좋은 상품 저렴하게 샀다하지만 
시간 기다림의 한계를 느끼고 싶으면 구매하세요",jini****,20.07.06.
24,3,음 우선 색상은 좀더 진한 베이지색 같아요 그리고 쿠션은 적당한데 허리 받침이 불편해요 또한...리클라이너 안되서 전기선 2번 바꿨어요...배송 기사님은 완전 친절하세요 솔직한 후기 !!!,maho****,20.06.22.
