review_no,star,review,customerId,reviewDate,pd_no,subcate_no,category_no
1,5,"일단 가격과 디자인  색감이 정말 맘에 들어서 구입했어요. 근데 막상 받아보니 생각보다 좀 무겁긴 했어요. 배송중 모서리 가 살짝 깨져서 왔네요. 콘크리트 벽이라 힘들게 벽 뚫고 선반 거는데 무거워서 자꾸 쳐지더라구요. 결국 벽과 맞붙는 아래 부분에 다른 지지대를 끼워 넣어 수평 맞췄어요. 남편하고 둘이 끙끙대며 2시간 정도 걸린것 같아요^^; 그래도 이만한 가격에 이쁘게 잘 설치한것 같아요.",ican****,21.03.21.,2,선반,수납가구
2,1,"가격적인 면에서 이케아 라크 선반이랑 비교해도 마감  시공성 다 떨어집니다. 그리고 아무리 저렴하다고 해도 이건 정말 해도 너무 하는 제품입니다. 
110 사이즈 6개  59.5 사이즈 5개 주문해서 6개 설치하고 너무 짜증나서 박스채 버렸습니다. 무지주 선반인데 'ㄱ'자형 꺽쇠 사용했습니다.
선반과 벽에 고정된 피스를 연결하는 걸쇠가 선반보다 튀어나와서 애초에 벽에 붙일수가 없는 디테일을 가지고 있고  동봉된 피스는 목재용이라 선반의 무게를 버티질 못 합니다. 
이런걸 만든다는 것도 판매한다는 것도 이해가 안될 수준의 제품 입니다. 
기존에 마켓비의 다른 제품들 저렴한 가격이라 몇번 구매도 했고  디테일 안좋아도 가성비 생각하며 만족했습니다. 그런데 이 제품은 너무 최악이라 저같은 피해자가 안 생기도록 리뷰 남깁니다.",tpal****,21.04.07.,2,선반,수납가구
3,1,"제품은 언뜻 보면 괜찮은 거 같은데  직접 설치해보면 앞으로 쏠려요. 뒷편에 꽂는 곳이 툭 튀어나와서 그런 거 같고 나사를 잡아주는 플라스틱(초록색)이 뽀개졌어요. 그리고 안에서 놀고 있다네요. 신랑이 요런 거 잘하는데도 안되는거면 질 안좋은 제품을 쓰는겁니다. 진짜 별로네요. 
6개나 주문했는데 3개만 거치하고 나머지는 그냥 바닥에 놓고 사용합니다. 불안해서 못 쓰겠네요. 환불하고 싶은데 벌써 설치해서 하지도 못하겠고 평가가 나름 좋았는데 속은기분이네요.
설치해놓고 밑에 나무로 받칠겁니다. 시간낭비 체력소모하고 불만족이네요.",joye****,21.02.21.,2,선반,수납가구
4,5,"홈카페공간에 설치했어요 
아래수납장도 마켓비제품이라 색상이 똑같아서 만족",7865****,21.04.04.,2,선반,수납가구
5,5,"홈캠 올려 놓았는데 좋네요~  다만 설치할때 못 위치 맞추기가 어렵네요ㅠㅠ",yous****,21.04.06.,2,선반,수납가구
6,5,"오~~ 좋아요
현관에 부착해서 쓰고 있는데 튼튼하고 색도 괜찮아요",okey****,21.04.03.,2,선반,수납가구
7,5,"제가 원하던 느낌이 아니라 초큼 아쉽네요 ㅎㅎ 선택미스 ㅎㅎㅎ",b_bs****,21.03.31.,2,선반,수납가구
8,5,"용도에 맞아서 만족해요 생각보다 튼튼하네요",sami****,21.03.24.,2,선반,수납가구
9,5,"저희집 욕실에는 상부장과 젠다이 대신 하부장과 선반을 설치했어요^^
화병과 칫솔  치약 정도만 올려놓을 용도로 선반을 구입했는데 정~말 탁월한 선택이었던 것 같아요!
우드&골드 컨셉인데 우드가 딱 제가 원하던 컬러였어요~
참 만족스러운 제품입니다^^",hean****,21.02.28.,2,선반,수납가구
10,1,"아무리 잘 박아도 앞으로쏠려요...못 쓰겠네요 6개나 샀는데... 밑에 받침대를 다시 사야할듯...",real****,21.03.21.,2,선반,수납가구
11,3,"두께감있구요..엄청튼튼하고 엄청 무거워요
벽고정시에 벽뚫는거 있어야가능합니다..장비갖추시고 주문하세요..",bak9****,21.04.07.,2,선반,수납가구
12,3,"생가보다 엄청무거웠어요..컨테이너 사무실에 벽인테리어 하려고 구매했으나..결국 벽이 약해서 포기..ㅠ",bak9****,21.04.07.,2,선반,수납가구
13,3,"지지대따로사야할정도로 무거움",yjdq****,21.03.27.,2,선반,수납가구
14,4,"마감이 깨끗하지는 않은데 가성비 부분에서는 만족이에요",inae****,21.03.23.,2,선반,수납가구
15,5,"예쁜데 달기 넘힘들어요 .엄청무거움  .만족합니다 감사합니다 대박이네요 수고하셨습니다",a255****,21.03.16.,2,선반,수납가구
16,5,"액자를 놓기에 안전하고 좋아요 
위치도 바꿀수있고요",sami****,21.03.24.,2,선반,수납가구
17,5,"고급스럽고 예뻐요^^",roor****,21.03.30.,2,선반,수납가구
18,4,"원두종류가 많아 복잡한 홈카페존이 드디어 정리되었네요.ㅎ 브라켓부분이 좀 튀어나와서 벽에 완벽 밀착되는 느낌은 없으나 흔들림은 없습니다. ㅎ 두툼해서 얄팍한 가구느낌 안들고 안정감있게 걸려있어요.
하지만 레벨맞추기는 어려워서 쳐질수는 있어요. 그래서 걍 실리콘으로 고정해부럿음. 
 후드옆의 미묘한 공간에 마치 세뚜인것같은 느낌으로 선반넣기 딱좋았습니다.  가격도 저렴하구요. :)",jijo****,21.02.16.,2,선반,수납가구
19,5,"배송도 빠르고 제품도 너무 좋았습니다. 다시구매할 의향있어요",hoco****,21.03.17.,2,선반,수납가구
20,1,"제품은 언뜻 보면 괜찮은 거 같은데  직접 설치해보면 앞으로 쏠려요. 뒷편에 꽂는 곳이 툭 튀어나와서 그런 거 같고 나사를 잡아주는 플라스틱(초록색)이 뽀개졌어요. 그리고 안에서 놀고 있다네요. 신랑이 요런 거 잘하는데도 안되는거면 질 안좋은 제품을 쓰는겁니다. 진짜 별로네요.",joye****,21.02.21.,2,선반,수납가구
21,5,"개별 스티로폼 포장에 하자없이 잘받았네요.",mini****,21.03.18.,2,선반,수납가구
22,5,"잘 사용하고 있습니다 
설치도 간다해서 좋습니다",ktae****,21.04.06.,2,선반,수납가구
23,5,"인테리어제품으로괜찮습니다 아직설치부분이남사있기는 합니다만",tomi****,21.03.13.,2,선반,수납가구
24,3,"조립이 다른건괜찮은데 중간끼는부분이 그림만으로 하기 어려웠어요 ㅠ제가엉성한건지 흔들거려요",leea****,21.03.05.,2,선반,수납가구
25,5,"또주문할께요 감사합니다",jb36****,21.04.02.,2,선반,수납가구
26,4,"아직설치전인데
괜찮을꺼같아요",dohj****,21.03.18.,2,선반,수납가구
27,4,"사진과 동일해요 깔끔해요 크기도 적당하고 
침대옆에 협탁대용으로 설치했어요",dkfm****,21.03.06.,2,선반,수납가구
28,4,"제품은 예쁜데 집벽이 석고보드라  튼튼하게 고정이 안되네요~",forr****,21.03.14.,2,선반,수납가구
29,5,"설치부분이 남아있으나 제품인테리어상괜찮은듯합니다",tomi****,21.03.13.,2,선반,수납가구
30,5,"조립도 쉽게할수 있어 좋아요~~
침대 헤드와 벽 틈새에 사용하니 딱좋네요.",dhrt****,21.03.06.,2,선반,수납가구
31,5,"가정용 홈캠 올려 놓으니 좋아요^^",yous****,21.03.17.,2,선반,수납가구
32,5,"튼튼하니 좋아요
아직 안달아봣는데 생각보다 무거위서
걱정이네요 배송빨라요",jnlo****,21.03.18.,2,선반,수납가구
33,3,"배송은 빠른데 정말 무겁네요 
콘크리트 뚫어서 칼블럭 넣고 설치했는데도 
수평이 안되고 쳐져서 틈에 나무조각 받쳐줬더니 괜찮네요",rln1****,21.02.26.,2,선반,수납가구
34,5,"좋아요 근데 생각보다 무겁네요 쳐지기 쉬울거같아오",dlth****,21.03.27.,2,선반,수납가구
35,5,"가벼운 물건만 장식하려고 샀어요♡ 사진은 좀 삐뚤어져보이게 나왔네요",noey****,21.03.05.,2,선반,수납가구
36,5,"포인트로 주기 좋아요!!!",dlgh****,21.03.18.,2,선반,수납가구
37,4,"괜찮아요

특특할꺼같아요",dohj****,21.03.18.,2,선반,수납가구
38,3,"가격이 저렴해 많이 기대는 안했지만 그래도 싼티나요ㅋㅋ",je44****,21.03.30.,2,선반,수납가구
39,3,"색이 다른 선반 종류랑 달라요",pico****,21.03.13.,2,선반,수납가구
40,5,"아이 책선반으로 사용중인데 이렇게 전면으로 책을 진열해주니 아이가 쉽게 책을 보고 꺼내니 자주볼수있어서 좋아요 인테리어적으로도 만족합니다!",rkdw****,21.02.23.,2,선반,수납가구
41,5,"쓰편하고 좋아여 꿋",cngj****,21.04.03.,2,선반,수납가구
42,5,"딱 원하던 사이즈에^^",hivc****,21.03.14.,2,선반,수납가구
43,3,"색이 생각보다 저렴(?)해요",pico****,21.03.13.,2,선반,수납가구
